Payments to suppliers over £500 - April 2020,,,,,,,,,
,,,,,,,,,
Body Name,Service Label,Cost Centre,Expenditure Category,Nominal,NominalDesc,Accounting Date,System Reference,Line Amount SUM,Vendor Name
Norwich City Council,HRA Repairs,730020,Landlords Lighting Gen Repairs,2128,Landlords Lighting Gen Repairs,06/04/2020,9741,"4,585.08",ALPHATRACK SYSTEMS LTD                  
Norwich City Council,HRA Capital Expenditure,983000,Door Access Controls,5160, Door Access Controls         ,06/04/2020,9759,"4,831.91",ALPHATRACK SYSTEMS LTD                  
Norwich City Council,HRA Capital Expenditure,983000,Door Access Controls,5160, Door Access Controls         ,06/04/2020,9760,"5,601.82",ALPHATRACK SYSTEMS LTD                  
Norwich City Council,HRA Repairs,730020,Landlords Lighting Gen Repairs,2128,Landlords Lighting Gen Repairs,06/04/2020,9734,"8,788.61",ALPHATRACK SYSTEMS LTD                  
Norwich City Council,HRA Repairs,730020,Landlords Lighting Gen Repairs,2128,Landlords Lighting Gen Repairs,06/04/2020,9736,"10,827.76",ALPHATRACK SYSTEMS LTD                  
Norwich City Council,HRA Repairs,730020,Landlords Lighting Gen Repairs,2128,Landlords Lighting Gen Repairs,06/04/2020,9737,"11,484.49",ALPHATRACK SYSTEMS LTD                  
Norwich City Council,HRA Repairs,730020,Landlords Lighting Gen Repairs,2128,Landlords Lighting Gen Repairs,06/04/2020,9735,"13,287.05",ALPHATRACK SYSTEMS LTD                  
Norwich City Council,HRA Capital Expenditure,983000,Structural,5181, Structural                   ,06/04/2020,9748,"24,732.96",ASPECT GROUP SERVICES LTD               
Norwich City Council,Integrated Waste Management,431080,Variations to Database,2847,Variations to Database        ,06/04/2020,10043,875,BIFFA MUNICIPAL LIMITED                 
Norwich City Council,Integrated Waste Management,431080,Cleansing Contracts,2846,Cleansing Contracts           ,06/04/2020,9648,970.76,BIFFA MUNICIPAL LIMITED                 
Norwich City Council,Integrated Waste Management,431080,Cleansing Contracts,2846,Cleansing Contracts           ,06/04/2020,9648,"1,948.02",BIFFA MUNICIPAL LIMITED                 
Norwich City Council,Integrated Waste Management,431080,Cleansing Contracts,2846,Cleansing Contracts           ,06/04/2020,9648,"2,001.32",BIFFA MUNICIPAL LIMITED                 
Norwich City Council,Integrated Waste Management,431080,Cleansing Contracts,2846,Cleansing Contracts           ,06/04/2020,9648,"2,265.13",BIFFA MUNICIPAL LIMITED                 
Norwich City Council,Integrated Waste Management,431080,Variations to Database,2847,Variations to Database        ,06/04/2020,9651,"2,763.90",BIFFA MUNICIPAL LIMITED                 
Norwich City Council,Estates Management,721020,Disinfecting Dustbins,2201,Disinfecting Dustbins         ,06/04/2020,9648,"4,882.25",BIFFA MUNICIPAL LIMITED                 
Norwich City Council,Integrated Waste Management,431080,Variations to Database,2847,Variations to Database        ,06/04/2020,9649,"6,266.00",BIFFA MUNICIPAL LIMITED                 
Norwich City Council,Integrated Waste Management,431080,Variations to Database,2847,Variations to Database        ,06/04/2020,9650,"20,831.32",BIFFA MUNICIPAL LIMITED                 
Norwich City Council,Integrated Waste Management,431080,Cleansing Contracts,2846,Cleansing Contracts           ,06/04/2020,9648,"22,860.70",BIFFA MUNICIPAL LIMITED                 
Norwich City Council,Integrated Waste Management,431080,Cleansing Contracts,2846,Cleansing Contracts           ,06/04/2020,9648,"316,008.66",BIFFA MUNICIPAL LIMITED                 
Norwich City Council,Procurement Team,540010,Other Contractual Services,2849,Other Contractual Services    ,06/04/2020,9641,"20,808.00",BRECKLAND DISTRICT COUNCIL              
Norwich City Council,Balance Sheet,999999,Pay Sacrifice Recove,8135,Pay Sacrifice Recove          ,06/04/2020,9646,"3,885.41",COMPUTERSHARE VOUCHER SERVICES          
Norwich City Council,GF Capital Expenditure,981000,New Constructn/Convrsn/Renovtn,5100,New Constructn/Convrsn/Renovtn,06/04/2020,9611,"3,749.00",DARDAN SECURITY LTD                     
Norwich City Council,HRA Capital Expenditure,983000,Kitchens,5121, Kitchens                     ,06/04/2020,9749,"66,142.93",GASWAY SERVICES LTD                     
